Event|Day|Date|Time|Location|Speakers|Moderator|ModeratorOrg|URL
Following the money (Sponsored by Bloomberg)|Thursday|June 16|11:30 a.m.|Salon F-H| Rob Barry, Mark Lagerkvist, Duane Pohlman, Michael Sallah|Duane Pohlman|WCMH/NBC4 Columbus|http://www.ire.org/events-and-training/event/2199/2607/
Investigating child mistreatment|Friday|June 17|3:45 p.m.|Studio 9-10| Duff Wilson, Greg Smith, Jenifer McKim, Kathleen Johnston|Kathleen Johnston|CBS News|http://www.ire.org/events-and-training/event/2199/2658/
Designing database applications to increase page views and ad revenues (Hosted by Caspio)|Saturday|June 18|9 a.m.|Salon A|Edward Garcia|No moderator listed||http://www.ire.org/events-and-training/event/2199/2700/
Investigative parternships|Thursday|June 16|9 a.m.|Studio 9-10| Ellen Gabler, Keith Esparros, Manuel Torres, Jeff Adelson, Greg Phillips|Ellen Gabler|Milwaukee Journal Sentinel|http://www.ire.org/events-and-training/event/2199/2544/
Uncovering stories on the health beat|Thursday|June 16|11:30 a.m.|Galerie 3| Ellen Gabler, Ryann Grochowski Jones, Jeanne Whalen, Jenn Abelson|Ellen Gabler|Milwaukee Journal Sentinel|http://www.ire.org/events-and-training/event/2199/2673/
Uncovering stories on the schools beat|Saturday|June 18|11:30 a.m.|Salon E| Tawnell Hobbs, Ellen Gabler, Susan Ferriss, Michael LaForgia|Ellen Gabler|Milwaukee Journal Sentinel|http://www.ire.org/events-and-training/event/2199/2615/
Broadcast: Investigating your local school system|Thursday|June 16|3:45 p.m.|Galerie 3| Eric Flack, Jenna Susko, Kelly Hinchcliffe|No moderator listed||http://www.ire.org/events-and-training/event/2199/2569/
Investigative reporting on a shoestring|Thursday|June 16|9 a.m.|Galerie 3| Esther Kaplan, Lee Fang, Kathryn Joyce, Kelly Virella, Trevor Aaronson, Seth Wessler|Esther Kaplan|The Investigative Fund|http://www.ire.org/events-and-training/event/2199/2691/
Campaign 2016: Following the (dark) money (Sponsored by Rockefeller Brothers Fund)|Friday|June 17|9 a.m.|Galerie 4-5| Robert Maguire, Fredreka Schouten, Michael Beckel, Russ Choma|Michael Beckel| The Center for Public Integrity|http://www.ire.org/events-and-training/event/2199/2602/
Revealing the cost of corporate welfare|Friday|June 17|11:30 a.m.|Galerie 4-5| Greg LeRoy, Hilary Russ, Sarita Nair|No moderator listed||http://www.ire.org/events-and-training/event/2199/2693/
How to investigate the war on women's health|Saturday|June 18|9 a.m.|Salon E| Hannah Levintova, Marianne Szegedy-Maszak, Molly Redden, Nina Martin|Marianne Szegedy-Maszak|Mother Jones|http://www.ire.org/events-and-training/event/2199/2672/
NICAR Commons: Meet and greet - Accessing closed religious communities|Saturday|June 18|10:15 a.m.|Preservation Hall|Hans Peter Blicher|Hans Peter Blicher|TV2 Denmark|http://www.ire.org/events-and-training/event/2199/2783/
Hot emerging environmental topics to take home with you (Sponsored by Society of Environmental Journalists)|Sunday|June 19|11:30 a.m.|Galerie 4-5| Rob Davis, Sharon Guynup, Jeff Burnside, Ingrid Lobet|No moderator listed||http://www.ire.org/events-and-training/event/2199/2764/
Broadcast: Hoaxes, con men & frauds|Friday|June 17|2:30 p.m.|Galerie 3| Ira Rosen, Tony Kovaleski, Matthew Mosk|No moderator listed||http://www.ire.org/events-and-training/event/2199/2583/
Outlook potentially negative: When PIOs fight back|Thursday|June 16|3:45 p.m.|Salon D| Jack Gillum, John Kelly, Maud Beelman, Michael Morisy|Maud Beelman|The Associated Press|http://www.ire.org/events-and-training/event/2199/2553/
Deep dives: Issues you can explore in your community|Thursday|June 16|10:15 a.m.|Salon F-H| Jessica Terrell, Todd Wallack, Jaimi Dowdell, Katherine Sayre|Jaimi Dowdell|IRE/NICAR|http://www.ire.org/events-and-training/event/2199/2561/
Finding stuff online: A journalist's guide to tracking down information|Sunday|June 19|9 a.m.|Salon 9-10| Jaimi Dowdell, Mark Horvit|No moderator listed||http://www.ire.org/events-and-training/event/2199/2613/
Unleash the data: Tools and tricks for taming PDFs|Thursday|June 16|5 p.m.|Salon B| Nils Mulvad, Jaimi Dowdell|No moderator listed||http://www.ire.org/events-and-training/event/2199/2644/
Using U.S. FOIA to get information on your own country|Sunday|June 19|11:30 a.m.|Studio 9-10| Mark Horvit, Jaimi Dowdell|No moderator listed||http://www.ire.org/events-and-training/event/2199/2663/
Year in investigations|Sunday|June 19|10:15 a.m.|Salon 9-10| Jaimi Dowdell, Megan Luther|No moderator listed||http://www.ire.org/events-and-training/event/2199/2612/
From lone wolf to team player: The evolution of the investigative reporter|Thursday|June 16|11:30 a.m.|Salon E| Jennifer LaFleur, Roy Harris, James B. Steele, James Grimaldi|Roy Harris|independent journalist|http://www.ire.org/events-and-training/event/2199/2557/
Campaign 2016: Backgrounding candidates and measuring effectiveness (Sponsored by Rockefeller Brothers Fund)|Thursday|June 16|5 p.m.|Galerie 4-5| Steve Eder, James Grimaldi, Jonathan Salant, Kathy Kiely|Kathy Kiely|BillMoyers.com|http://www.ire.org/events-and-training/event/2199/2682/
Excel 1: Getting started with spreadsheets (repeat session)|Friday|June 17|9 a.m.|Salon A|Jamie Grey|No moderator listed||http://www.ire.org/events-and-training/event/2199/2631/
Show & Tell *Saturday - #4 (Sponsored by Napoli Management Group)|Saturday|June 18|4:15 p.m.|Galerie 2|Jeff Harris|Jeff Harris|WEWS-Cleveland|http://www.ire.org/events-and-training/event/2199/2726/
Broadcast: 60 stories in 60 minutes|Saturday|June 18|10:15 a.m.|Galerie 3| Joe Ellis, Jennifer Cobb|No moderator listed||http://www.ire.org/events-and-training/event/2199/2623/
